amfi_code,scheme_name,expense_ratio_pct,cagr_3yr,sharpe_ratio,alpha,max_drawdown_pct,rank_3yr,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,score,overall_rank
120841,Kotak Bluechip Fund - Regular - Growth,1.59,17.27,0.494,13.043,-17.57,22.0,24.0,25.0,35.0,24.0,36.88,28
118634,Nippon India Small Cap Fund - Regular - Growth,1.53,8.01,0.448,17.501,-23.34,27.0,26.0,18.0,28.5,32.0,35.81,29
118636,Nippon India Gilt Securities Fund - Regular - Growth,0.55,4.06,-0.357,5.075,-8.32,33.0,38.0,35.0,1.0,6.0,32.12,30
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,0.77,5.84,-0.227,5.621,-4.33,32.0,37.0,34.0,9.0,5.0,31.25,31
101208,ABSL Liquid Fund - Regular - Growth,0.79,6.32,-0.816,6.086,-0.16,31.0,40.0,33.0,11.0,3.0,30.38,32
100025,HDFC Short Term Debt Fund - Regular - Growth,0.56,3.92,-0.567,4.282,-4.31,34.0,39.0,38.0,2.0,4.0,29.38,33
120842,Kotak Emerging Equity Fund - Regular - Growth,1.56,7.76,0.076,7.804,-24.0,28.0,30.0,29.0,33.0,33.0,25.13,34
119599,SBI Small Cap Fund - Direct Plan - Growth,0.72,-1.34,-0.057,4.882,-52.57,38.0,32.0,36.0,5.5,40.0,21.44,35
119092,Axis Bluechip Fund - Regular - Growth,1.64,0.53,0.031,6.9,-14.4,36.0,31.0,30.0,39.5,15.0,20.06,36
101207,ABSL Small Cap Fund - Regular - Growth,1.53,-4.15,0.163,10.897,-35.45,39.0,28.0,27.0,28.5,38.0,19.56,37
119095,Axis Small Cap Fund - Regular - Growth,1.38,-11.71,-0.076,4.802,-51.68,40.0,33.0,37.0,17.0,39.0,14.75,38
100016,HDFC Top 100 Fund - Regular Plan - Growth,1.55,1.29,-0.202,3.748,-24.73,35.0,35.0,39.0,32.0,34.0,11.88,39
102886,UTI Mid Cap Fund - Regular - Growth,1.51,-0.77,-0.206,2.897,-28.0,37.0,36.0,40.0,24.5,35.0,11.81,40
